feature,importance
tfidf_tale,38.7703742980957
tfidf_having,34.870521545410156
company_Queens Of Combat,34.14554214477539
tfidf_based,30.615129470825195
tfidf_include,28.18511962890625
cast_Sean White,27.56494140625
tfidf_legendary,27.357637405395508
tfidf_follows,27.035219192504883
cast_Taylor Nikides,26.795433044433594
genre_Drama,26.72772979736328
cast_Kiera Hogan,26.090240478515625
cast_Alex R. Wagner,25.26955795288086
tfidf_understanding,23.84674072265625
tfidf_son,23.446002960205078
cast_Zachary Onciul,23.3221435546875
cast_Samantha Onciul,22.513469696044922
tfidf_bag,22.474395751953125
tfidf_main,21.955175399780273
tfidf_order,21.741275787353516
lang_bn,20.086444854736328
tfidf_action,20.067426681518555
tfidf_heist,19.636049270629883
company_fajr,19.600830078125
tfidf_christian,19.553930282592773
tfidf_sea,19.22789192199707
tfidf_relationships,19.039695739746094
tfidf_island,19.01125144958496
tfidf_person,18.722801208496094
tfidf_line,18.481201171875
tfidf_rise,18.3990535736084
cast_Humayun Saeed,18.232215881347656
tfidf_captain,17.731212615966797
cast_Savannah Evans,17.691205978393555
vote_count,17.58448600769043
tfidf_governor,17.29035186767578
tfidf_hands,17.15069580078125
tfidf_brave,16.894731521606445
cast_Nicholas Onciul,16.80155372619629
cast_Mary Astor,16.6485595703125
cast_Elizabeth Chihaia,15.928435325622559
tfidf_12,15.799762725830078
cast_Hamza Ali Abbasi,15.779827117919922
cast_Christina Kardooni,15.618476867675781
tfidf_walk,15.599736213684082
cast_Dmitriy Sharakois,15.469947814941406
tfidf_audience,15.272351264953613
cast_Dick Justice,15.263147354125977
tfidf_held,15.240537643432617
company_Col Spector,15.114105224609375
tfidf_companies,14.490439414978027
tfidf_wife,14.251081466674805
tfidf_dreams,13.721487998962402
tfidf_events,13.481612205505371
lang_te,13.41862964630127
lang_ur,12.965767860412598
cast_Mikhail Efremov,12.963263511657715
tfidf_annual,12.803634643554688
cast_Bikramjeet Kanwarpal,12.803421020507812
tfidf_musical,12.62579345703125
tfidf_tells,12.288355827331543
tfidf_match,12.206355094909668
company_Ringling College of Art + Design,12.054168701171875
tfidf_love,12.048324584960938
tfidf_best,11.874625205993652
cast_Farhan Ally Agha,11.845951080322266
tfidf_lack,11.803666114807129
company_CT ROAD Entertainment,11.735459327697754
tfidf_city,11.667254447937012
tfidf_16,11.52046012878418
tfidf_families,11.420747756958008
company_Kemal Film,11.346929550170898
cast_Adolphe Menjou,11.251102447509766
tfidf_company,11.092995643615723
tfidf_passed,10.989364624023438
tfidf_pakistan,10.804094314575195
company_Eskay Movies,10.624143600463867
tfidf_avenge,10.547971725463867
cast_Olivia Hasler,10.472909927368164
tfidf_unemployed,10.432464599609375
company_Dhudiya Entertainment,10.355064392089844
cast_Jenny Yokobori,10.333072662353516
tfidf_screen,10.193181991577148
tfidf_adventures,10.177789688110352
tfidf_characters,9.995187759399414
